"","Overlap_ID","Alteromonadales","Bacteroidiaeroidiaeroidia","Gammaproteobacteria","Polaribacter","SAR11_clade"
"1","PS99/43_28m",8254.39023697674,123270.86969,98041.2414575556,50399.8087016129,153784.6901664
"2","PS99/51_0m",6812.98736901538,39507.671698,10104.6554236923,14927.3318762,6548.76495175484
"3","PS99/51_13m",26537.4788921429,100585.605474516,49189.1126588571,76867.1802375862,115035.232156071
"4","PS99/59_0m",1919.22838412857,21395.8423555556,21893.42008475,10780.8507993333,1803.7192684125
