input	filtered	denoised	merged	nochim	tabled
10	157175	108922	107387	100811	96259	96258
11	123536	83085	81218	75681	74416	74382
12	105208	72667	70398	64253	62470	62440
13	148701	83433	82713	78601	75193	75193
14	180309	128209	126715	119460	111932	111931
15	91852	62683	61409	55859	54574	54543
16	137247	94769	92639	86525	83228	83195
17	91905	64880	64223	61518	60150	60150
18	175332	121593	118804	109749	104438	104401
19	172641	119514	116744	108531	103416	103378
1	203532	110440	109139	102648	98200	98200
20	116509	79412	78105	74334	71493	71492
21	111497	76152	74005	68325	66244	66243
24	49588	24034	23716	22918	22780	22779
25	40614	20100	19714	19087	18996	18996
28	98381	65249	63264	59180	58703	58701
29	118201	78899	75186	70650	68657	68657
2	168177	95708	95071	91932	83660	83660
30	68227	41190	39955	37154	36465	36464
31	108202	78511	72568	61067	58718	58711
32	74634	58564	53587	45342	43682	43676
33	70210	47803	42140	32033	30499	30490
34	81997	55608	50424	42550	41076	41072
35	62866	48445	43794	36278	34934	34927
36	104967	81913	76112	66749	64446	64438
37	127331	100402	93546	80434	77475	77463
3	206197	195451	191804	182542	172423	172422
4	198754	187776	184601	177553	166862	166859
5	142545	134819	127716	114504	111891	111866
6	193984	181831	173531	156807	153033	153004
7	85960	58383	56461	49954	47949	47923
8	85965	57104	54772	49085	48239	48201
9	157081	87600	86312	82119	78510	78510
22	203212	195348	194571	188030	183233	183230
23	176436	168956	168413	164073	160202	160202
26	242835	234110	233124	224423	219483	219481
27	304914	292782	291398	281105	275127	275111
