input	filtered	denoised	merged	nochim	tabled
10	76579	65397	64375	55838	55358	36897
11	96625	84696	83258	80295	79710	27917
12	103508	90620	89628	80592	79968	47210
5	46783	41177	40485	36549	36196	32858
6	53333	46590	45554	42718	41770	40398
7	73955	65729	63936	60052	59394	56434
8	86667	75193	73652	65236	63656	58873
9	191	83	29	5	5	5
13	171765	161656	161085	136182	134828	97335
14	147296	139304	138710	116174	114583	103080
15	166506	156837	156075	130746	128949	108081
16	87520	80558	80047	63636	63119	50944
17	114563	95327	88321	75119	70520	69016
18	365571	305224	296309	273624	263225	259682
19	151719	127471	120930	108171	104579	102905
1	65137	55677	54488	51297	50658	44844
20	137113	110892	104739	93194	90331	88617
21	277631	231243	223164	201880	194717	192285
22	334946	278147	269917	250677	241389	238467
23	195846	161607	153840	137265	130375	128531
2	41562	34332	33491	31870	31629	30060
3	42799	36664	34813	30294	29222	22764
4	87606	72357	68620	59653	58215	56545
24	114799	78096	76549	66033	64232	63355
25	85792	53814	52238	44398	44059	43700
26	72239	51140	50730	45283	45102	37762
27	110859	75651	74192	65722	65103	64036
28	96316	62969	61457	52819	52061	51154
29	113152	80721	80231	76456	76200	49543
30	113055	77031	75496	65439	63830	63104
31	90230	59257	57735	49314	47961	47240
32	112069	80408	80072	75910	75710	47822
33	102200	68801	67537	58389	56754	55826
34	65680	44817	43601	37414	36819	35569
35	99011	71449	70738	66233	66115	32250
36	69065	46171	45230	39795	39242	38617
37	176065	170003	169462	146487	145839	66450
38	207043	199087	198441	164332	163848	45863
39	127645	122213	121807	80852	80405	45069
40	138385	133776	133249	104833	103567	74059
41	130662	125992	125533	98374	97711	70557
42	202440	195919	195262	166746	164747	130415
