PANGAEA_sampleID,Type,Habitat,Depth,Observed,Chao,Chao.cov,Shannon,Shannon.ext,Simpson,Simpson.ext,Sample.cov,Primer
73,PS101/175,Water,Exclude,2000,2061,2489.82,0.827770682217992,193.357,198.667,34.76,34.783,99,V4V5
74,PS101/175,Water,Exclude,3000,2092,2515.424,0.831668935336548,202.389,206.368,50.899,50.935,99.3,V4V5
75,PS101/175,Water,Exclude,3230,1914,2340.161,0.817892444152347,197.199,201.818,57.362,57.42,99.11,V4V5
76,PS99/43,Water,Surface-water,10,616,886.365,0.694973289784682,27.056,27.231,11.919,11.921,99.69,V4V5
77,PS101/97,Water,Exclude,400,1989,2479.062,0.802319587005085,230.435,236.384,46.927,46.967,99.06,V4V5
78,PS99/43,Water,Surface-water,28,609,845.543,0.720247225747242,39.868,40.245,18.723,18.73,99.57,V4V5
79,PS99/51,Water,Surface-water,5,590,836.415,0.705391462372148,19.641,19.817,5.78,5.781,99.57,V4V5
80,PS99/51,Water,Surface-water,13,619,856.226,0.722939971456134,29.61,30.004,8.203,8.204,99.43,V4V5
81,PS99/62,Water,Surface-water,10,512,711.389,0.719718747408239,54.712,55.1,24.234,24.245,99.7,V4V5
82,PS99/62,Water,Surface-water,20,758,908.196,0.834621601504521,72.581,72.898,33.204,33.214,99.83,V4V5
83,PS99/48,Ice,Sea-ice,0,480,610.546,0.786181548974197,30.802,30.917,9.115,9.116,99.85,V4V5
84,PS99/51,Ice,Sea-ice,0,390,518.307,0.752449802916032,32.583,32.802,15.562,15.568,99.71,V4V5
85,PS99/53,Ice,Sea-ice,0,536,616.191,0.869860156996775,71.672,71.972,42.16,42.182,99.84,V4V5
86,PS99/59,Ice,Sea-ice,0,319,603.755,0.528360013581668,34.826,35.218,16.817,16.827,99.5,V4V5
87,PS99/57,Sediment,Sediment,5000,9930,12843.484,0.773154698522613,2430.695,2671.592,589.775,594.36,95.48,V4V5
88,PS99/42,Sediment,Sediment,5000,13604,15463.035,0.879775542123522,1788.106,1848.307,354.304,354.79,98.8,V4V5
