"","Raw","Clipped","Trimmed","Merged","SampleID","Final","Primer"
"1",191021,182391,167079,117703,"X10",73399,"V3V4"
"2",97822,93002,84819,57657,"X11",47300,"V3V4"
"3",145910,138883,127576,90151,"X12",73100,"V3V4"
"4",97457,92994,85422,61012,"X13",38678,"V3V4"
"5",186160,177384,162144,112440,"X14",89720,"V3V4"
"6",183399,174666,160294,112789,"X15",89364,"V3V4"
"7",123796,118002,108029,73660,"X16",39412,"V3V4"
"8",118559,112795,103696,71944,"X17",55975,"V3V4"
"9",216979,204264,202862,190863,"X18",114122,"V3V4"
"10",190178,177364,176113,165432,"X19",115326,"V3V4"
"11",217601,205471,180832,88892,"X1",53906,"V3V4"
"12",52557,49999,45307,22879,"X20",12791,"V3V4"
"13",43250,40942,37322,20389,"X21",14286,"V3V4"
"14",263623,244236,242987,229847,"X22",165711,"V3V4"
"15",332173,306680,304688,286097,"X23",211652,"V3V4"
"16",114178,109283,101586,71727,"X24",54594,"V3V4"
"17",79007,75496,70712,55293,"X25",43530,"V3V4"
"18",74420,70901,65702,44583,"X26",32878,"V3V4"
"19",86775,83105,77626,55855,"X27",44212,"V3V4"
"20",66784,63668,59131,45368,"X28",36052,"V3V4"
"21",110525,106092,100416,79457,"X29",64748,"V3V4"
"22",180343,169794,150819,81275,"X2",54504,"V3V4"
"23",135067,128856,119438,92720,"X30",73209,"V3V4"
"24",91680,87072,77850,51709,"X3",40645,"V3V4"
"25",91762,87041,78096,51062,"X4",39275,"V3V4"
"26",169777,158428,139355,70658,"X5",47391,"V3V4"
"27",167233,159039,143954,98012,"X6",69754,"V3V4"
"28",131192,125102,113870,76742,"X7",61512,"V3V4"
"29",111732,106478,97302,67779,"X8",53381,"V3V4"
"30",159668,150179,132053,66486,"X9",46224,"V3V4"
