"","Expedition","Station","Type","Depth","merging","Sequences","Observed","Chao1","Completness","Shanonn","Simpson","Evenness","Primer"
"X10","PS101",149,"Water",1.5,"Surface-water",73399,357,478.016949152542,0.746835443037975,3.68413529326001,0.914498830909645,0.626794981952139,"V3V4"
"X11","PS101",149,"Water",600,"Deep-water",47300,1292,1755.99526066351,0.735765083734802,5.51357867295012,0.977416758119588,0.76962865804132,"V3V4"
"X12","PS101",149,"Water",750,"Deep-water",73100,1341,1914.87727272727,0.7003059773591,5.47650047052714,0.975495197010989,0.760501390578225,"V3V4"
"X13","PS101",172,"Water",1,"Surface-water",38678,334,518.525,0.644134805457789,3.72593900488531,0.92101915411717,0.641171675130314,"V3V4"
"X14","PS101",172,"Water",600,"Deep-water",89720,1254,1669.13023255814,0.751289489303718,5.36241216613103,0.976020606017806,0.751659899028409,"V3V4"
"X15","PS101",172,"Water",620,"Deep-water",89364,1324,1830.95067264574,0.723121610964433,5.49756033939899,0.977708207865768,0.764780841184427,"V3V4"
"X16","PS101",175,"Water",10,"Surface-water",39412,506,647.967741935484,0.780903071638373,4.19173312106184,0.958871449666845,0.673204598912532,"V3V4"
"X17","PS101",175,"Water",1000,"Deep-water",55975,1145,1407.31603773585,0.813605451297297,5.32272259826978,0.967693531533748,0.755729340489191,"V3V4"
"X18","PS99",43,"Water",10,"Surface-water",114122,359,594.62,0.603746930812956,3.26220464887655,0.897350958101312,0.554483408092612,"V3V4"
"X19","PS99",43,"Water",28,"Surface-water",115326,330,509.478260869565,0.647721454173067,2.8623171485162,0.819221975012591,0.493580171773005,"V3V4"
"X1","PS99",48,"Ice",0,"Sea-ice",53906,342,453.056603773585,0.754872563718141,3.87546183362368,0.943762111485322,0.664196665198894,"V3V4"
"X20","PS99",51,"Water",5,"Surface-water",12791,307,352.122448979592,0.871855801553263,3.63813553753003,0.945703426926185,0.635277153834381,"V3V4"
"X21","PS99",51,"Water",13,"Surface-water",14286,330,392.045454545455,0.841739130434783,3.3711714141629,0.909358817220602,0.58132739292756,"V3V4"
"X22","PS99",62,"Water",10,"Surface-water",165711,394,593.553571428571,0.663798549896206,4.23588111935533,0.972790931607525,0.708773829322036,"V3V4"
"X23","PS99",62,"Water",20,"Surface-water",211652,404,657.977272727273,0.614002970536424,4.39868895671458,0.978224143105566,0.73294198887462,"V3V4"
"X24","PS99",48,"Sediment",5000,"Sediment",54594,3537,5495.07272727273,0.643667550102737,7.26390113619315,0.997842126469277,0.888981855661464,"V3V4"
"X25","PS99",51,"Sediment",5000,"Sediment",43530,3247,5411.62,0.600005174051393,7.05302466337803,0.997305630098992,0.872306746912618,"V3V4"
"X26","PS99",57,"Sediment",5000,"Sediment",32878,3907,5746.36353467562,0.679908254398414,7.54621161198565,0.998596886207485,0.91242230998096,"V3V4"
"X27","PS99",42,"Sediment",5000,"Sediment",44212,3454,6117.5373608903,0.564606278023177,7.14234696806624,0.997419926514006,0.876653279136595,"V3V4"
"X28","PS99",52,"Sediment",5000,"Sediment",36052,3453,5439.84710743802,0.634760487161237,7.20196558777363,0.99753324499178,0.884002300145313,"V3V4"
"X29","PS99",53,"Sediment",5000,"Sediment",64748,3435,6171.12225705329,0.55662484989241,7.10995891643234,0.997299542439668,0.873269202049894,"V3V4"
"X2","PS99",51,"Ice",0,"Sea-ice",54504,258,402.344827586207,0.641241001028454,2.89838931607249,0.793005641273758,0.52195397278646,"V3V4"
"X30","PS99",41,"Sediment",5000,"Sediment",73209,3667,6547.62304409673,0.560050567252208,7.22988858375016,0.997577068804382,0.880927841598621,"V3V4"
"X3","PS101",97,"Water",600,"Deep-water",40645,1238,1631.43333333333,0.758841918149684,5.40121655847421,0.975947578554352,0.758464412536497,"V3V4"
"X4","PS101",97,"Water",853,"Deep-water",39275,1300,1719.06666666667,0.756224307763903,5.6039147218058,0.980277811311178,0.781565033587947,"V3V4"
"X5","PS99",53,"Ice",0,"Sea-ice",47391,306,352.121951219512,0.869017108817621,4.13473397460529,0.956106026513187,0.722402812390242,"V3V4"
"X6","PS101",126,"Water",10,"Surface-water",69754,347,504.826086956522,0.687365429334252,3.71494932033314,0.912302591678545,0.635107377362433,"V3V4"
"X7","PS101",126,"Water",600,"Deep-water",61512,1325,1745.59493670886,0.759053530768227,5.60072754076722,0.975233317642127,0.779050892196579,"V3V4"
"X8","PS101",126,"Water",1000,"Deep-water",53381,1337,1866.04265402844,0.716489517060967,5.70082183974367,0.983594375445301,0.791980612703251,"V3V4"
"X9","PS99",59,"Ice",0,"Sea-ice",46224,264,345.162162162162,0.764857881136951,3.56980971684145,0.939012343652207,0.640215620839711,"V3V4"
