"","PANGAEA_sampleID","Type","Environment","Depth","Sequences","Observed","Chao1","Completness","Shannon","Simpson","Primer"
"X291","PS99/62","Water","Surface-water",10,68083,334,450.392253918104,74.1,3.8131005629316,0.942512999215493,"V4V5"
"X210","PS99/51","Ice","Sea-ice",0,61085,311,432.454795159699,71.9,3.84497276358524,0.955390944500405,"V4V5"
"X301","PS99/62","Water","Surface-water",20,121290,383,537.53849217798,71.3,4.09223434920759,0.958490377106719,"V4V5"
"X31","PS99/53","Ice","Sea-ice",0,84569,368,484.029313804212,76.1,4.26515325030191,0.972858543499024,"V4V5"
"X41","PS99/59","Ice","Sea-ice",0,35760,299,393.765768110821,75.8,4.04720660101567,0.964438928280778,"V4V5"
"X51","PS99/57","Sediment","Sediment",5000,75797,3746,6737.56740684626,55.6,7.25381123953527,0.997621381952331,"V4V5"
"X61","PS99/42","Sediment","Sediment",5000,249888,3435,6983.76936093136,49.2,6.96608355368192,0.996343239615509,"V4V5"
"X71","PS99/52","Sediment","Sediment",5000,104437,3329,6215.3304707342,53.6,6.97658260111736,0.996574294035816,"V4V5"
"X81","PS99/53","Sediment","Sediment",5000,89630,3222,6036.12356609208,53.4,6.85109431142746,0.995600497503568,"V4V5"
"X91","PS99/41","Sediment","Sediment",5000,188712,3416,6867.47052215139,49.7,6.93705626475996,0.996133286269289,"V4V5"
